farmer_id,location,product,available_qty_kg,price_per_kg,rating
F100,Trichy,Cabbage,82,23.61,4.4
F101,Salem,Cabbage,97,42.38,3.5
F102,Madurai,Cabbage,552,10.03,3.3
F103,Salem,Onion,456,27.63,5.0
F104,Salem,Rice,623,25.24,4.0
F105,Coimbatore,Cabbage,777,18.23,3.5
F106,Madurai,Brinjal,148,36.7,5.0
F107,Madurai,Carrot,733,34.24,4.9
F108,Madurai,Onion,775,44.62,4.1
F109,Salem,Onion,596,23.47,4.8
F110,Trichy,Rice,788,22.21,3.4
F111,Madurai,Onion,662,18.41,3.6
F112,Salem,Onion,511,20.94,4.4
F113,Coimbatore,Cabbage,692,37.91,4.7
F114,Trichy,Rice,54,30.19,4.7
F115,Coimbatore,Cabbage,267,13.24,3.8
F116,Trichy,Carrot,552,22.7,4.8
F117,Salem,Carrot,447,22.34,4.7
F118,Chennai,Cabbage,442,44.82,4.9
F119,Trichy,Carrot,256,45.61,4.6
F120,Coimbatore,Rice,64,17.4,4.3
F121,Salem,Tomato,603,59.89,4.2
F122,Trichy,Cabbage,510,23.34,3.7
F123,Chennai,Brinjal,740,58.83,4.9
F124,Chennai,Brinjal,624,30.55,4.9
F125,Madurai,Onion,792,11.65,3.6
F126,Madurai,Carrot,290,27.25,3.6
F127,Coimbatore,Brinjal,613,41.72,4.0
F128,Trichy,Onion,145,44.04,3.9
F129,Trichy,Tomato,783,36.55,5.0
F130,Madurai,Rice,534,32.39,3.4
F131,Trichy,Rice,456,37.64,3.0
F132,Trichy,Rice,280,39.63,4.0
F133,Chennai,Brinjal,798,14.04,3.4
F134,Madurai,Tomato,704,28.48,3.7
F135,Salem,Brinjal,220,22.11,4.5
F136,Madurai,Carrot,590,50.16,4.4
F137,Salem,Brinjal,85,33.52,3.6
F138,Chennai,Tomato,574,59.17,4.1
F139,Coimbatore,Tomato,209,29.94,4.0
F140,Trichy,Carrot,748,50.82,4.3
F141,Chennai,Tomato,292,49.92,3.5
F142,Trichy,Tomato,135,17.54,4.2
F143,Coimbatore,Rice,627,35.41,5.0
F144,Coimbatore,Carrot,731,44.79,4.0
F145,Chennai,Potato,606,52.92,4.8
F146,Coimbatore,Potato,623,26.3,3.9
F147,Salem,Tomato,695,21.01,3.7
F148,Coimbatore,Potato,77,45.56,4.3
F149,Trichy,Potato,669,50.48,4.3
F150,Trichy,Tomato,605,27.43,4.7
F151,Trichy,Potato,389,14.81,3.5
F152,Trichy,Brinjal,380,57.03,4.0
F153,Salem,Onion,689,29.88,4.1
F154,Madurai,Carrot,555,35.89,4.5
F155,Chennai,Onion,397,51.89,3.1
F156,Trichy,Tomato,522,43.78,5.0
F157,Coimbatore,Rice,280,46.76,3.9
F158,Trichy,Carrot,239,20.45,3.6
F159,Coimbatore,Tomato,274,37.07,4.8
