request_id,product,location,required_qty_kg,required_date
B200,Brinjal,Coimbatore,881,2026-08-31 17:29:44.188835
B201,Rice,Salem,1803,2026-09-09 17:29:44.188835
B202,Tomato,Coimbatore,571,2026-08-31 17:29:44.188835
B203,Rice,Coimbatore,1617,2026-09-08 17:29:44.188835
B204,Cabbage,Madurai,1896,2026-09-05 17:29:44.188835
B205,Cabbage,Coimbatore,2886,2026-08-28 17:29:44.188835
B206,Potato,Trichy,1859,2026-09-08 17:29:44.188835
B207,Potato,Madurai,1163,2026-08-30 17:29:44.188835
B208,Carrot,Chennai,2015,2026-09-03 17:29:44.188835
B209,Potato,Madurai,2391,2026-09-03 17:29:44.188835
B210,Potato,Coimbatore,539,2026-09-06 17:29:44.188835
B211,Carrot,Trichy,1882,2026-08-27 17:29:44.188835
B212,Onion,Madurai,2530,2026-08-28 17:29:44.188835
B213,Potato,Trichy,1777,2026-08-31 17:29:44.188835
B214,Onion,Chennai,1465,2026-09-04 17:29:44.188835
